2026-03-12T05:33:16.219Z JOY-0055 dep.added "JOY-0052" [horst.schwarz@joydev.com]
2026-03-12T05:33:44.608Z JOY-0056 item.created "Use Git as database on server" [horst.schwarz@joydev.com]
2026-03-12T05:36:43.131Z JOY-0056 item.updated "Use Git as database on server" [horst.schwarz@joydev.com]
2026-03-12T05:39:44.637Z JOY-0056 item.updated "Use Git as database on server" [horst.schwarz@joydev.com]
2026-03-12T05:39:45.030Z JOY-0056 milestone.linked "JOY-MS-03" [horst.schwarz@joydev.com]
2026-03-12T05:41:22.018Z JOY-0057 item.created "joy edit/add accepts milestone IDs as parent without validation" [horst.schwarz@joydev.com]
2026-03-12T05:42:18.975Z JOY-0057 comment.added "Fix: validate parent ID in both add and edit commands. Call items::load_item() to verify the parent exists as an item. Reject with error if not found." [horst.schwarz@joydev.com]
2026-03-12T05:42:19.401Z JOY-0057 item.status_changed "new -> in-progress" [horst.schwarz@joydev.com]
2026-03-12T05:43:20.954Z JOY-0058 item.created "Test valid parent" [horst.schwarz@joydev.com]
2026-03-12T05:43:27.087Z JOY-0058 item.deleted "Test valid parent" [horst.schwarz@joydev.com]
2026-03-12T05:43:27.518Z JOY-0057 item.status_changed "in-progress -> closed" [horst.schwarz@joydev.com]
2026-03-12T05:45:11.444Z JOY-0058 item.created "Git version tags for joy" [horst.schwarz@joydev.com]
2026-03-12T05:45:22.476Z JOY-0056 item.updated "Use Git as database on server" [horst.schwarz@joydev.com]
