2026-05-03T00:36:39.729Z JOY-0153-A2 item.created "Per-zone encryption mode and WebUI as review surface" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T00:53:28.250Z JOY-0142-62 comment.added "Plan: T-Shirt-Mapping xxs=1, xs=2, s=3, m=4, l=5, xl=6, xxl=7. Helper parse_effort(s: &str) in joy-cli akzeptiert 'none', '1'-'7', und xxs..xxl (case-insensitiv). add.rs effort von Option<u8> auf Option<String>. edit.rs nutzt denselben Helper. Tests fuer den Helper. Doku-Updates: Tutorial.md, AI-instructions.md, SKILL.md. Display bleibt Block-Char/Zahl; T-Shirt-Anzeige in Listen waere ein separates Item." [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T00:53:28.307Z JOY-0142-62 item.status_changed "new -> in-progress" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T00:58:26.383Z JOY-0154-48 guard.denied "horst.schwarz@joydev.com must authenticate to perform this action. Run `joy auth`." [horst.schwarz@joydev.com]
2026-05-03T01:02:05.055Z JOY-0142-62 item.updated "Short names for effort like xxl or m" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T01:03:52.800Z JOY-0142-62 comment.added "[x] Helper parse_effort in joy-cli/src/effort.rs implementiert. add.rs --effort auf Option<String> umgestellt. edit.rs auf Helper umgestellt.\n[x] 6 Unit-Tests fuer den Helper, alle gruen. cargo test -p joy-cli komplett gruen (88 + 2 tests).\n[x] Smoke-Test: joy edit JOY-0142-62 --effort xxl speichert effort: 7. Numerisch und 'none' weiter funktional.\n[x] Doku angepasst: Tutorial.md (effort scale section), templates/ai/instructions.md, templates/ai/skills/joy/SKILL.md.\n[x] T-Shirt-Anzeige in Listen ausgeklammert (separates Item bei Bedarf)." [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T01:03:52.846Z JOY-0142-62 item.status_changed "in-progress -> review" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T01:10:38.910Z JOY-0142-62 comment.added "Nachgezogen: in joy ls / board zeigt die EFF-Spalte jetzt T-Shirt-Sizes (xxs..xxl), wenn emoji off ist. Mit emoji on weiterhin Block-Char. Neue Helper-Funktion color::effort_label fuer Width-Berechnung; effort_indicator nutzt Label intern. ls.rs w_eff korrekt auf max T-Shirt-Breite (3) skaliert. cargo test gruen." [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T01:16:32.370Z JOY-0141-DE comment.added "Plan: align joy ls --tree with joy ls table layout. Same header (separator + column headers + separator), same columns (ID, TYPE, STAT, PRIO, EFRT, TITLE). Tree connectors (├── └── │) precede the ID; the ID column width scales to max(len('ID'), max prefix+id width). Reuse col_raw and pad_colored helpers. Bundled label rename (also requested): STATUS -> STAT, EFF -> EFRT in the table header." [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T01:16:32.433Z JOY-0141-DE item.status_changed "new -> in-progress" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T01:23:19.102Z JOY-0141-DE comment.added "[x] Header rename: STATUS -> STAT, EFF -> EFRT in ls table.\n[x] Tree by parent (default 'joy ls --tree') refactored to ls table layout: same separator, same column headers, same column structure. Tree connectors are prepended to ID; ID column scales to max(prefix+id, header). Effort indicator and label respect the existing emoji setting.\n[x] Smoke test: joy ls --tree shows ID/TYPE/STAT/PRIO/EFRT/TITLE columns with ├── prefixes inside the ID column.\n[x] cargo build, cargo test (88+2 green), cargo clippy clean.\n[x] Out of scope here: joy ls --tree --group milestone keeps its existing inline-bracket layout. If alignment with the new table layout is desired there too, that is a separate item." [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
