2026-07-04T00:02:55.177Z JOY-01EA-2C comment.added [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-07-04T00:02:55.273Z JOY-01EA-2C item.status_changed "new -> review" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-07-04T00:02:55.392Z JOY-01EA-2C item.status_changed "review -> closed" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-07-04T00:02:55.515Z JOY-01EB-28 item.status_changed "new -> review" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-07-04T00:02:55.634Z JOY-01EB-28 item.status_changed "review -> closed" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-07-04T00:02:55.758Z JOY-01EC-E2 item.status_changed "new -> review" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-07-04T00:02:55.877Z JOY-01EC-E2 item.status_changed "review -> closed" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-07-04T00:02:55.999Z JOY-01ED-32 item.status_changed "new -> review" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-07-04T00:02:56.119Z JOY-01ED-32 item.status_changed "review -> closed" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-07-04T00:02:56.240Z JOY-01EE-62 item.status_changed "new -> review" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-07-04T00:02:56.359Z JOY-01EE-62 item.status_changed "review -> closed" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-07-04T00:02:56.480Z JOY-01EF-D9 item.status_changed "new -> review" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-07-04T00:02:56.603Z JOY-01EF-D9 item.status_changed "review -> closed" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-07-04T00:02:56.675Z JOY-01E9-94 item.status_changed "new -> closed (all children closed)" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-07-04T00:02:56.778Z JOY-01E9-94 item.status_changed "closed -> review" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-07-04T00:02:56.903Z JOY-01E9-94 item.status_changed "review -> closed" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
