2026-07-21T06:51:25.299Z JOY-01E7-0E guard.denied "horst.schwarz@joydev.com must authenticate to perform this action. Run `joy auth`." [horst.schwarz@joydev.com]
2026-07-21T06:52:33.416Z JOY-01E7-0E item.deleted [horst.schwarz@joydev.com]
2026-07-21T06:57:41.692Z auth auth.session_created "session created for ai:claude@joy via delegation token" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-07-21T08:45:02.872Z JOY-013F-33 item.status_changed "review -> closed" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-07-21T08:45:03.004Z JOY-0190-D0 item.status_changed "review -> closed" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-07-21T08:45:03.147Z JOY-01B9-53 item.status_changed "review -> closed" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-07-21T08:45:03.270Z JOY-01CD-D5 item.status_changed "review -> closed" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-07-21T08:45:03.401Z JOY-01FC-4B item.status_changed "review -> closed" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-07-21T08:45:03.523Z JOY-0200-84 item.status_changed "review -> closed" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-07-21T08:45:03.745Z JOY-0201-9B item.status_changed "review -> closed" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-07-21T08:45:03.910Z JOY-0202-58 item.status_changed "review -> closed" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-07-21T08:45:04.096Z JOY-0203-CC item.status_changed "review -> closed" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-07-21T08:45:04.264Z JOY-0204-F2 item.status_changed "review -> closed" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-07-21T08:45:04.424Z JOY-0205-28 item.status_changed "review -> closed" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-07-21T08:45:04.591Z JOY-0206-C6 item.status_changed "review -> closed" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-07-21T08:45:04.761Z JOY-0207-DC item.status_changed "review -> closed" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-07-21T08:45:04.946Z JOY-0209-7A item.status_changed "review -> closed" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-07-21T08:45:05.128Z JOY-020A-C5 item.status_changed "review -> closed" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-07-21T08:45:05.294Z JOY-020B-D2 item.status_changed "review -> closed" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-07-21T08:45:05.456Z JOY-020C-A3 item.status_changed "review -> closed" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-07-21T08:45:05.636Z JOY-020E-E6 item.status_changed "review -> closed" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-07-21T08:45:05.753Z JOY-020F-34 item.status_changed "review -> closed" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-07-21T08:45:05.900Z JOY-0213-50 item.status_changed "review -> closed" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-07-21T08:45:06.040Z JOY-0214-E1 item.status_changed "review -> closed" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-07-21T08:45:06.171Z JOY-0215-44 item.status_changed "review -> closed" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-07-21T08:45:06.289Z JOY-0216-ED item.status_changed "review -> closed" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-07-21T08:45:06.417Z JOY-0217-F1 item.status_changed "review -> closed" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-07-21T08:45:06.548Z JOY-0218-E8 item.status_changed "review -> closed" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-07-21T08:45:06.682Z JOY-0219-CC item.status_changed "review -> closed" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-07-21T08:45:06.826Z JOY-021A-C1 item.status_changed "review -> closed" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-07-21T08:45:06.922Z JOY-01E6-FA item.updated [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-07-21T08:45:07.003Z JOY-01E6-FA comment.added [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
