2026-09-01T15:12:46.715Z JOY-022E-B2 item.deleted [horst.schwarz@joydev.com]
2026-09-01T15:13:39.320Z JOY-023B-7E item.status_changed "review -> closed" [horst.schwarz@joydev.com]
2026-09-01T15:14:03.330Z JOY-0247-E1 item.status_changed "review -> closed" [horst.schwarz@joydev.com]
2026-09-01T15:14:25.761Z JOY-01F9-9E item.status_changed "review -> closed" [horst.schwarz@joydev.com]
2026-09-01T15:14:32.163Z JOY-023C-1E item.status_changed "review -> closed" [horst.schwarz@joydev.com]
2026-09-01T15:14:38.400Z JOY-0246-B7 item.status_changed "review -> closed" [horst.schwarz@joydev.com]
2026-09-01T15:14:53.654Z JOY-0248-AE item.status_changed "review -> closed" [horst.schwarz@joydev.com]
2026-09-01T15:15:26.323Z JOY-0249-D2 item.status_changed "review -> closed" [horst.schwarz@joydev.com]
2026-09-01T15:15:41.213Z JOY-024A-39 item.status_changed "review -> closed" [horst.schwarz@joydev.com]
2026-09-01T15:16:03.512Z JOY-024C-97 item.status_changed "review -> closed" [horst.schwarz@joydev.com]
2026-09-01T15:16:20.378Z JOY-0250-48 item.status_changed "review -> closed" [horst.schwarz@joydev.com]
2026-09-01T15:16:44.476Z JOY-0252-1A item.status_changed "review -> closed" [horst.schwarz@joydev.com]
2026-09-01T15:17:04.633Z JOY-0253-8A item.status_changed "review -> closed" [horst.schwarz@joydev.com]
2026-09-01T15:25:12.884Z JOY-0254-3C item.status_changed "review -> closed" [horst.schwarz@joydev.com]
2026-09-01T15:25:19.167Z JOY-0255-B3 item.status_changed "review -> closed" [horst.schwarz@joydev.com]
2026-09-01T15:25:25.974Z JOY-0256-64 item.status_changed "review -> closed" [horst.schwarz@joydev.com]
2026-09-01T15:25:31.982Z JOY-0257-FC item.status_changed "review -> closed" [horst.schwarz@joydev.com]
2026-09-01T15:25:38.265Z JOY-0258-59 item.status_changed "review -> closed" [horst.schwarz@joydev.com]
2026-09-01T15:25:38.419Z JOY-0251-AA item.status_changed "new -> closed (all children closed)" [horst.schwarz@joydev.com]
2026-09-01T15:25:47.973Z JOY-0259-44 item.status_changed "review -> closed" [horst.schwarz@joydev.com]
2026-09-01T15:25:54.239Z JOY-025A-3A item.status_changed "review -> closed" [horst.schwarz@joydev.com]
2026-09-01T15:27:22.999Z JOY-025B-F6 item.status_changed "review -> closed" [horst.schwarz@joydev.com]
2026-09-01T15:27:28.942Z JOY-025C-A7 item.status_changed "review -> closed" [horst.schwarz@joydev.com]
